Evento,Jet.Size,Jet.PT,Jet.Eta,Jet.Phi
1,3,50.0578,-3.15456,-1.26699
1,3,47.1401,1.73224,1.0649
1,3,44.2817,-1.47722,2.85316
4,2,32.755,-1.70994,1.9007
4,2,27.3688,-1.40631,-1.25182
7,1,24.4503,-0.00963687,0.508368
9,2,51.7468,-0.698636,-2.50336
9,2,41.1049,0.512265,0.823725
11,3,31.0518,-0.630397,0.800365
11,3,23.2946,-1.26925,2.75621
11,3,22.8535,-0.441132,-1.69623
16,1,27.8603,-2.69777,-0.464805
17,2,37.2166,-1.51561,-0.373909
17,2,27.905,0.87964,2.81083
18,1,23.6064,-1.80695,-2.44966
25,1,24.5644,-1.18402,0.00326989
26,1,31.2485,-0.855791,-0.72076
29,1,43.9379,0.95757,1.41327
30,1,23.5807,-0.805554,2.43874
33,3,25.9035,2.18234,-2.86309
33,3,25.1773,2.48245,0.693644
33,3,24.6126,3.18085,1.0148
38,3,67.4673,-0.826946,1.94262
38,3,39.145,-1.91103,-0.854239
38,3,23.8466,-4.194,3.08802
39,1,23.9613,1.02508,2.19978
41,1,43.9929,-0.0169362,-0.337265
42,1,28.553,2.3456,-2.50845
43,1,34.406,2.47787,-0.709325
44,2,26.7147,0.76791,-3.08122
44,2,25.9239,0.662235,-0.260489
47,1,38.6152,-1.1943,-2.59528
48,1,23.7552,-2.19023,-1.18824
51,1,25.364,-0.791457,1.92981
52,1,24.844,-0.445248,-1.3441
53,1,22.9401,-2.91838,-0.675847
55,2,33.9916,-2.80778,-0.860423
55,2,24.7507,-2.36379,2.45538
56,1,28.4334,3.24837,1.74973
58,1,22.4544,3.53658,3.04041
60,1,28.1958,-4.52686,-0.11157
65,1,22.5053,1.4465,-2.42566
66,2,35.4315,2.54618,-2.92813
66,2,27.1997,2.89904,1.11229
67,2,45.8905,-0.344606,-0.0732478
67,2,28.5278,0.221528,-2.32964
70,2,46.7785,4.27966,2.45277
70,2,34.7305,1.01384,-0.712092
71,1,38.9581,-0.256395,-0.856692
72,1,24.5991,-3.12223,-1.84676
73,2,26.086,2.22109,1.17378
73,2,24.3661,0.555362,-1.79581
74,1,26.0084,0.838164,-1.1787
75,1,23.1905,-1.10113,-2.54064
76,1,28.576,-0.232088,-0.189781
78,1,36.277,-0.808958,0.198642
82,3,55.457,-0.699879,2.50592
82,3,38.827,0.502547,-0.70264
82,3,28.3202,-0.226026,-1.18796
84,1,34.1835,-2.10078,-2.99475
85,2,45.2784,1.42398,-1.22268
85,2,23.0668,3.68548,1.89559
86,1,25.1403,2.85863,-1.68468
90,2,35.5594,-0.782194,1.70086
90,2,25.991,-1.25358,-0.86763
95,1,33.9449,0.446354,-0.0429323
96,1,23.0309,-1.0539,0.355308
97,1,26.4951,1.33614,0.281001
98,2,30.2897,0.723957,-1.93413
98,2,24.1714,-0.142736,1.7922
100,1,23.3589,2.49267,1.87701
101,1,34.0838,-0.736719,1.79959
102,1,23.9434,0.935111,1.4608
103,1,23.875,1.15288,-1.95774
104,1,38.4472,-2.21153,-1.23486
107,1,24.0524,2.04537,-1.0394
110,1,36.5696,-4.06429,2.1412
112,1,25.8733,-0.251424,-2.24647
113,1,30.3535,0.583661,0.214932
114,2,30.8949,-2.41414,2.9663
114,2,26.0875,-2.49505,-0.0209925
118,2,68.5207,0.627792,-2.00506
118,2,39.8873,1.75146,0.494419
120,2,29.2389,3.71577,-0.973312
120,2,22.239,3.37477,2.06451
121,1,22.5362,2.06219,1.18632
127,1,36.8577,-0.603707,-2.62317
128,1,34.3776,1.88089,-1.29007
130,1,32.8615,0.30199,1.79391
132,1,32.5379,-1.28211,-2.00639
133,1,23.083,-2.14851,-0.0644933
134,1,22.8608,-1.99652,-0.466348
136,2,32.8144,2.33204,1.10895
136,2,25.5858,3.08198,-2.03154
138,1,28.6214,0.87604,-0.105256
145,4,66.8492,-1.0775,-0.789227
145,4,43.294,3.30272,2.00021
