Evento,Jet.Size,Jet.PT,Jet.Eta,Jet.Phi
0,1,24.1125,-2.51082,-2.74686
3,1,23.1244,2.27499,-0.238238
4,1,24.3717,-1.46633,-2.31007
5,1,25.585,3.71224,2.37981
6,1,22.8614,0.50195,0.975543
8,1,22.7354,-1.19723,-0.917389
9,3,49.6583,3.39657,1.45091
9,3,34.5821,1.58898,2.86155
9,3,32.8513,2.80015,-0.601004
10,2,45.2742,-0.825306,1.30932
10,2,30.8918,0.152486,-1.9559
13,1,29.9202,-1.70289,3.05537
14,1,43.067,2.13282,1.54503
15,1,21.7817,-4.18066,1.71542
16,1,27.2657,-2.61899,1.1625
17,3,38.7874,-1.87459,0.435276
17,3,33.2912,-2.29911,-2.06486
17,3,24.6233,-0.168231,2.57996
18,1,24.1133,0.179242,-1.91457
21,1,27.1022,-0.883359,-0.922712
23,2,25.1055,-2.27031,-0.00685831
23,2,23.5517,1.89148,1.69061
28,1,22.7044,1.57774,-2.10937
30,2,24.474,0.0125431,2.96042
30,2,23.7633,0.471068,-2.49385
32,1,25.3764,2.40628,2.15506
33,1,30.3561,2.50744,1.37499
36,2,26.8649,0.56628,1.23155
36,2,25.7588,0.138097,-1.69193
38,1,26.0526,0.472262,-2.97407
44,1,38.8273,3.79134,0.724232
49,3,36.2603,1.49189,-0.249147
49,3,30.6593,0.305225,2.49234
49,3,25.5425,0.907702,2.66279
52,2,24.8213,0.11325,0.283349
52,2,22.9238,-0.965803,-2.24291
54,3,27.8044,-3.14979,-0.218331
54,3,24.7987,0.069142,1.9501
54,3,22.2011,-3.58333,2.44993
56,1,28.0127,3.88878,-0.873077
58,2,24.9504,0.0194504,1.39599
58,2,24.8872,-0.984985,-1.57855
59,1,42.1312,-3.26204,-1.38453
62,1,24.6934,-2.70379,-1.77189
67,1,22.1164,-4.81583,2.45431
70,2,23.9108,0.475662,2.84079
70,2,23.7256,-0.729093,-0.542684
73,3,33.2554,-2.6982,0.734045
73,3,28.0978,-0.0414096,2.8685
73,3,25.7512,0.181627,-0.831767
75,2,33.8306,-1.12129,0.208159
75,2,30.6623,-2.3699,2.95154
76,1,22.7472,2.43448,2.75589
80,2,54.4473,-3.47438,2.39572
80,2,30.3324,0.56741,-0.29468
82,1,26.0756,0.567524,-0.0332818
83,2,23.5972,2.86518,2.40347
83,2,22.5668,2.2944,-1.67595
84,1,31.1707,1.66169,-0.0833326
85,2,50.7057,-0.839556,1.65272
85,2,48.8759,-3.35619,-1.9515
87,1,29.4315,-0.572535,2.89627
90,2,29.6019,2.40309,-0.295419
90,2,23.9672,-1.13291,3.04661
91,1,27.7908,3.63193,-0.87483
93,1,23.1667,0.0731377,-2.06911
94,3,53.4654,1.48949,-2.71008
94,3,36.5823,2.33851,1.12841
94,3,25.5075,1.28112,-0.288606
95,3,70.4668,-0.194981,-2.91628
95,3,34.992,-1.17179,-0.258714
95,3,25.8523,0.99227,-1.04678
97,1,27.6943,0.710896,0.0510767
99,1,26.2355,2.90161,-2.23293
109,1,29.2895,3.92995,3.04286
110,2,84.8201,-0.308755,0.51799
110,2,75.9668,1.74082,-2.70074
114,1,22.7628,-0.509205,2.59286
115,1,41.8234,0.68436,-0.579674
116,1,31.6267,1.86944,-2.33619
120,1,26.2413,3.91391,-2.10426
122,2,29.3846,-1.46682,-1.15992
122,2,23.4042,-1.03982,3.00076
125,2,48.6148,-0.524153,-2.48532
125,2,38.4652,-2.36322,-0.259066
127,1,25.5709,1.76941,-2.19808
129,2,34.6778,3.21916,2.56361
129,2,26.8681,1.80399,-0.782278
130,1,29.1258,0.95875,2.25097
136,1,23.6164,-1.33202,1.29793
137,2,30.4666,0.115739,-2.92512
137,2,23.4868,0.260232,2.81305
141,3,39.4852,0.368374,3.01448
141,3,38.3066,-1.43603,-0.0667433
141,3,25.2148,1.03305,1.95772
142,1,23.584,1.54313,1.31901
143,1,23.8938,0.870913,2.62668
144,2,24.7237,0.123358,-0.896607
144,2,24.1973,2.05075,2.64261
148,2,25.5081,-0.45215,2.81925
148,2,24.9632,-1.18657,-0.116174
149,1,30.1007,-2.12904,1.70125
151,1,23.9472,-0.261334,-1.41104
152,2,49.2908,-1.00288,-2.59157
152,2,40.2121,0.638886,0.253301
153,2,28.8505,2.7165,3.03262
153,2,22.1722,2.55575,0.213849
156,2,38.4763,-0.593676,-1.78262
156,2,26.6386,1.21966,2.08031
157,2,26.016,0.308142,-0.104841
157,2,24.534,0.233771,2.49207
158,1,23.4622,2.04271,-2.7303
163,1,29.1386,2.2034,2.55403
164,2,37.5062,-2.44883,2.78241
164,2,22.5771,-3.81972,0.176303
166,1,23.4793,-0.926924,2.36295
169,1,21.907,-4.72203,0.547488
170,1,24.1349,1.92342,2.78544
171,1,27.9796,4.4507,-1.59311
172,2,33.2744,-1.41932,-3.08164
172,2,24.124,2.67794,2.76369
173,2,35.8933,1.99576,-2.72035
173,2,29.5002,1.26939,-0.737052
175,2,27.2947,1.284,1.52691
175,2,25.1265,2.26664,-1.31718
176,2,41.9287,-1.6652,3.12256
176,2,30.7254,-3.68316,-0.0332362
177,1,27.3028,-1.74042,2.67749
178,1,25.6783,2.63057,-2.57906
179,1,36.3106,-2.94852,-2.78315
182,1,23.3973,1.41935,-0.34974
183,2,31.1423,0.221478,-0.985602
183,2,28.6018,-2.60555,2.12818
184,1,24.1556,-0.534453,1.49964
187,1,23.5314,-0.156797,0.642953
191,3,28.5713,2.44649,-2.86428
191,3,25.1066,0.402793,0.773431
191,3,23.4256,0.510302,-2.02121
193,1,48.2379,0.987017,0.711133
194,2,30.5848,-0.300983,1.53303
194,2,27.0935,-0.583727,-1.25595
195,1,28.3089,-3.40368,1.95205
196,1,33.8834,-2.11771,0.53004
197,2,29.4313,2.60655,1.86971
197,2,23.0802,-1.91681,-1.65679
199,2,53.1872,-1.5492,0.286496
199,2,39.1452,-0.0855191,-2.13761
201,2,34.4008,3.60642,-0.399013
201,2,25.6071,4.37254,2.53739
205,1,23.6981,2.05132,1.32652
207,2,94.7621,1.6632,1.43652
207,2,91.558,0.630614,-1.78764
209,2,38.3958,1.74425,-3.07614
209,2,35.886,4.52734,-0.0128223
210,1,25.6413,1.53588,-1.15415
214,1,29.4422,0.728423,2.32549
217,2,76.7518,1.16214,-0.0164567
217,2,27.0956,3.02936,2.65859
218,1,23.34,1.25212,-0.48349
221,1,31.9139,-0.188064,-0.952627
223,1,25.9953,-1.23692,1.82251
226,2,31.0598,-1.20691,-1.18322
226,2,22.809,-1.71405,1.62203
234,1,28.9926,-0.266123,-1.89889
235,1,22.905,-3.61113,2.01063
238,2,33.393,3.2065,-1.7712
238,2,24.9696,0.306972,1.38503
239,2,63.796,-2.20534,-0.946043
239,2,44.4499,-0.82117,2.05517
242,2,30.766,-1.68906,1.05998
242,2,29.7031,-2.03883,-1.90342
243,2,61.0392,-2.15591,-2.44224
243,2,41.9031,1.31551,0.486325
244,1,23.0708,-0.741589,1.68156
245,1,29.4608,-1.20503,1.79233
248,1,45.299,0.398904,-2.78048
250,2,35.0725,0.936198,-1.30071
250,2,27.0386,-0.861455,1.28173
251,2,27.9494,-1.1918,0.867298
251,2,23.9163,0.719853,-2.33116
255,2,24.5548,-1.08624,0.0896977
255,2,23.8645,-0.169448,2.62598
257,1,26.9397,-0.797232,-1.6537
261,1,27.3272,1.95007,0.743125
266,1,23.6194,-3.28051,-3.06627
275,4,40.8548,-0.887846,-1.87234
275,4,39.257,-1.38962,2.04421
275,4,31.0185,2.0776,0.272115
275,4,24.9808,-1.95897,0.986605
278,1,34.733,0.730108,-0.128024
284,1,24.8329,1.04303,-1.86136
285,1,42.7303,-2.20588,0.136144
287,1,31.3717,0.257537,-2.24472
290,1,36.3294,0.680369,-1.13168
293,1,23.4832,-1.50451,2.88053
294,1,22.921,1.71068,2.37694
295,1,44.7676,0.934308,-2.86543
297,1,24.0855,-3.91187,2.77036
298,2,29.3075,0.743469,-0.0573009
298,2,26.2969,1.80687,-3.11665
302,2,41.7105,1.72904,2.251
302,2,24.0161,-0.947491,-0.409482
303,1,25.6929,-1.12146,-0.857822
304,2,52.7517,-1.08874,-2.35063
304,2,38.7398,0.423076,0.718351
305,2,41.42,0.297093,2.86399
305,2,37.1081,-1.13028,-0.522232
307,2,23.3096,1.52607,0.865033
307,2,23.2785,-0.135745,-2.58244
308,2,27.988,0.781784,0.764217
308,2,22.4791,-2.16724,-2.38524
310,1,29.0349,2.02572,-1.0553
313,1,25.3052,-1.73062,0.762852
315,1,55.6442,0.293095,1.24453
316,3,45.4257,2.54151,-1.35346
316,3,27.6824,0.268424,2.5566
316,3,23.9796,0.873291,0.851567
318,1,26.9801,-0.391076,2.488
320,1,30.4177,1.85873,2.72956
322,1,22.5348,-2.67607,0.857019
325,3,31.8974,1.75762,2.21808
325,3,28.8156,1.55096,-1.60044
325,3,28.6146,1.40891,0.68169
328,1,26.2114,0.190765,-1.62225
333,1,27.6514,-3.70235,3.05645
334,1,36.1232,0.136478,-3.08992
335,1,23.3199,3.20671,-2.75783
336,1,36.8127,-2.47401,0.676061
338,1,23.2742,1.25885,-0.737954
342,1,34.0678,-1.11537,-2.17306
343,1,25.2839,0.959335,1.85437
345,1,25.3155,0.334679,0.747998
346,1,28.7636,-2.166,1.73344
348,1,22.1838,4.14037,-1.46013
350,1,35.2246,-0.682022,-0.280413
353,1,32.1906,0.445347,-0.524599
354,1,23.1301,2.18943,-2.0707
355,1,22.4925,3.12753,-1.41061
357,2,69.2023,-0.135466,0.339645
357,2,33.2467,1.59019,-2.80399
359,2,42.4976,-0.448806,1.87104
359,2,24.9806,0.94055,-1.73494
361,1,33.411,1.61761,3.05885
363,1,26.0707,-1.23784,-1.61991
364,1,34.7751,1.24933,-2.08826
369,1,25.752,2.44204,-1.7947
371,1,23.4991,0.0786865,-1.91891
373,2,35.7422,-0.0504703,0.998408
373,2,29.2873,0.58223,-2.55428
376,2,37.3705,-1.92572,1.87515
376,2,33.1102,-1.01551,-1.65813
378,1,25.221,-3.32751,-0.0743578
379,3,27.4268,0.25861,2.42328
379,3,25.6023,1.55244,-1.48336
379,3,22.8646,2.01677,1.09795
381,2,35.9851,-0.856768,-0.730067
381,2,33.0319,-1.05507,2.86778
382,1,22.1871,3.94507,-1.17518
383,1,22.7769,-0.923823,1.0654
385,1,29.7396,2.00191,2.47915
386,2,31.4771,-0.340411,-2.95219
386,2,31.2831,0.311909,-1.184
387,1,28.4365,-2.04592,0.817151
388,1,29.2676,-1.52811,-0.753455
390,1,23.5505,2.67242,-2.85928
391,1,25.94,-2.03458,-0.0223518
394,1,39.8567,0.948065,0.943205
396,1,24.0433,1.28282,0.312815
399,1,22.8239,1.20866,2.29028
403,1,33.2386,0.131073,-2.1459
404,1,30.1146,-1.17812,1.52922
407,3,50.6989,-1.2183,-2.34375
407,3,44.9948,0.0171451,1.43612
407,3,32.8159,-0.405399,0.694237
409,1,29.9933,0.189325,1.91328
410,1,31.0026,3.64537,-1.89901
414,2,26.1243,1.34983,2.64701
414,2,22.5064,2.10415,-0.66194
418,2,26.7673,1.60727,-0.657393
418,2,25.7312,3.02766,2.39274
419,2,33.4634,0.441864,-2.46012
419,2,23.6126,-2.59228,0.851967
421,1,22.3985,-1.918,-0.744726
424,1,32.7009,1.58312,-1.66429
426,1,30.4757,-1.1101,1.07945
427,1,30.1251,0.0746425,-1.17136
430,1,38.9435,1.90537,-0.176535
432,1,23.6441,-2.6383,-0.94197
433,1,27.3331,-1.542,0.701889
436,1,40.6642,1.34817,-1.5952
437,2,53.11,-0.213069,-0.00623387
437,2,29.9485,-0.156721,-2.74114
439,1,34.404,0.38992,1.66956
443,3,42.8063,1.86762,2.58446
443,3,37.2831,0.810369,-1.20275
443,3,28.5324,-1.3759,-0.258791
445,1,25.3428,-2.74566,1.63868
446,1,27.1384,-3.65483,-1.6805
447,1,32.4265,-0.0605827,-2.47262
450,1,32.6707,1.24286,-1.14693
459,1,23.2338,1.27484,2.40772
461,1,33.4631,3.39429,1.46352
463,1,28.8604,-1.00003,-2.53886
465,1,25.0015,0.199572,2.02977
466,2,24.1251,-0.506158,1.60019
466,2,23.6772,0.351059,-1.99387
470,2,26.9679,2.89731,1.81984
470,2,25.0478,0.983908,-0.182643
471,1,34.6042,-0.550227,-2.75345
472,1,25.2772,1.95474,-1.17655
474,1,33.6906,1.63038,0.650394
476,1,36.6615,-0.520577,1.61232
477,1,26.2961,3.72162,-1.43033
480,1,26.9795,0.112657,2.44497
481,2,32.3328,-0.686377,0.310576
481,2,24.4225,-0.699881,2.20406
482,2,49.2813,-2.91482,-1.99487
482,2,39.9928,-3.15543,1.41927
489,1,25.8501,2.34434,-2.07084
496,1,24.5655,-2.97116,1.51963
499,2,27.0382,-1.56291,1.47919
499,2,25.8014,-0.156071,-0.235835
500,1,22.5556,3.83382,1.16127
503,1,31.567,1.65548,3.04169
504,1,25.5559,-1.18976,-0.854608
505,1,22.4149,3.49404,-1.77153
506,1,26.8977,-2.04216,-1.6311
507,1,25.6132,-0.359012,-2.18057
509,2,79.7215,-0.309534,1.05083
509,2,40.4898,-1.53382,-1.74133
510,2,41.1154,1.28055,0.482526
510,2,29.3059,1.71113,-3.00978
512,1,22.6681,2.50104,1.97927
514,4,31.4223,1.63847,-0.506365
514,4,26.6276,1.80401,2.88278
514,4,25.4776,0.60038,-2.85019
514,4,24.0006,2.70983,0.49784
515,1,23.4126,3.1712,-2.78071
516,1,42.52,-1.74229,-1.86396
519,1,23.4844,3.93918,-2.88701
523,1,21.7632,-4.24956,-0.839958
526,1,24.7272,-1.31463,-1.09974
529,1,38.4595,2.62548,0.814359
530,1,26.0004,1.50003,0.376143
531,1,23.053,-1.09799,2.67595
533,1,23.1626,-2.35796,1.95306
534,1,27.6184,1.29486,-1.27211
535,1,27.0323,-3.21609,-0.800269
537,1,26.1598,0.0313463,-1.75713
539,1,55.3946,0.00536179,-2.3487
540,1,22.8776,4.02473,1.98268
541,2,26.3205,-0.817969,1.21595
541,2,23.2899,2.06973,-2.27606
545,1,37.8715,-1.49124,2.65234
547,1,32.0248,-2.5355,1.46971
548,2,31.7854,-1.27523,-1.27263
548,2,27.0506,-0.403623,2.02181
549,1,27.6102,-0.234125,-1.35114
550,2,30.2164,2.79218,-2.52176
550,2,23.0226,0.831781,0.00245907
555,3,27.9981,-1.66144,0.778431
555,3,26.3404,-0.31861,2.54704
555,3,22.7393,-2.24465,-2.11928
556,1,29.1809,-1.4698,-2.92526
559,1,26.1316,0.0817342,-1.74447
563,2,38.0112,-0.97028,-1.07194
563,2,34.9212,-0.924278,2.09491
564,1,24.9747,0.241846,-1.43023
567,3,87.1943,3.18241,1.40592
567,3,59.7875,1.24364,-2.24787
567,3,43.0433,-0.228343,-0.267993
568,4,60.1029,2.22236,0.150252
568,4,34.9061,0.437693,-1.8707
568,4,31.3278,-1.74264,1.69114
568,4,22.1469,-3.42462,2.71564
569,1,46.202,-2.31009,2.53441
571,2,38.5646,0.0608864,2.85805
571,2,30.9582,1.26166,-0.0165429
579,2,45.1432,-0.488596,-2.27946
579,2,34.5002,1.23793,0.305015
582,1,27.6461,-0.699067,-0.31333
590,1,33.4658,-2.03388,0.118102
593,2,35.2443,1.51809,3.09165
593,2,24.8195,2.75246,0.023544
594,1,36.6502,-1.90254,-0.722449
597,1,23.6537,-1.36436,1.27661
598,1,23.1539,0.969214,2.21068
601,2,34.8587,3.73695,2.91579
601,2,22.8092,2.22255,-0.131773
602,1,24.1796,-1.75321,1.64564
604,1,42.6138,0.406523,-0.32376
607,1,23.8144,3.89212,-1.76085
609,1,26.6624,-1.90913,-2.91842
610,2,31.7921,-2.30976,-0.661419
610,2,24.2999,-0.541365,1.91056
618,1,23.1643,-0.219003,-3.08367
619,2,30.0936,1.45187,-2.89078
619,2,23.7112,-0.442354,0.880373
621,1,28.1611,-0.172793,-1.56017
624,1,27.0503,0.217281,-1.49957
625,2,35.4073,3.45485,-1.80393
625,2,32.7624,2.9925,1.33813
626,1,28.4272,-1.30706,3.01177
628,1,25.4748,0.37087,-2.59362
629,1,22.5824,2.15183,1.98609
630,1,30.9723,-0.798486,-2.69933
631,1,27.1293,-1.08319,-2.1304
632,1,31.8005,-0.907695,0.110148
634,1,39.5794,-0.913927,1.95067
636,1,23.9212,0.922728,-2.49216
637,1,32.4834,1.70032,-1.13124
638,2,26.9132,3.39458,0.828462
638,2,24.5435,0.789596,-2.50706
640,2,24.6519,2.6518,-0.895116
640,2,22.6194,-2.51845,3.06843
641,2,28.9244,1.44328,2.37712
641,2,27.0779,2.57554,0.28593
643,1,39.4365,1.92106,-0.369385
644,1,24.8138,-1.05261,-0.569788
646,2,32.7436,2.14943,-1.13601
646,2,28.746,1.79322,2.72456
649,2,34.3286,0.0875762,-0.174238
649,2,26.309,-1.26308,-3.12995
650,2,26.2678,-1.9257,-0.888812
650,2,26.2321,-2.74244,2.03625
653,2,35.3337,0.748611,1.87703
653,2,25.9996,1.17727,-0.809956
655,1,23.791,2.03079,1.92234
656,1,23.77,0.143833,2.27336
663,1,23.0992,-1.70633,3.04154
664,1,40.9827,0.354827,1.90161
665,1,40.5776,0.618041,-2.27032
667,2,25.9157,1.08792,-0.463794
667,2,25.8516,-2.02362,2.66759
669,2,47.6607,0.227061,-2.49762
669,2,40.0154,0.378202,0.439848
682,1,30.9494,-1.11569,-2.48716
684,1,23.5977,-2.28666,-2.8185
685,3,35.4888,-2.0027,0.15687
685,3,25.9388,0.0194793,3.06954
685,3,22.5327,1.68828,3.00153
686,2,27.5585,4.3777,2.93309
686,2,26.7958,2.9943,0.132754
687,1,26.8234,3.23345,1.84016
688,2,46.0549,-2.37721,-2.14986
688,2,36.0858,-1.57832,1.60788
690,1,26.5903,-1.72894,-2.51856
691,2,29.0881,-1.06459,-1.69579
691,2,24.2753,-1.37307,1.68093
692,1,27.6007,-1.08935,-1.05633
695,1,36.2601,-1.57881,-0.572893
706,1,27.3927,0.340443,1.69567
707,1,28.1776,-0.520304,-1.02197
710,1,24.6596,-4.69469,-0.912918
711,1,24.5385,1.43215,1.44948
712,1,33.8448,2.20518,2.9239
714,2,28.2968,0.104193,0.918062
714,2,22.4599,-2.56228,-1.5618
716,1,22.646,-1.08506,-2.52031
717,1,23.8813,-3.399,2.70329
718,1,24.2974,4.42763,2.80585
719,1,23.9682,1.31151,-2.11412
720,2,48.5031,-0.123391,0.476694
720,2,39.8623,-2.18105,-2.95758
721,3,34.8469,1.18741,1.22199
721,3,26.6311,-1.0534,-1.13267
721,3,24.0487,3.23556,-2.80237
723,1,24.9408,-2.51541,-1.36228
724,1,25.5569,-0.736955,-2.46223
728,1,26.9138,-0.66568,-0.733208
729,3,32.919,-0.736936,1.78169
729,3,29.7311,1.99937,-1.52999
729,3,26.0249,0.251905,-1.43503
730,1,25.4867,-0.00600381,-1.21661
731,1,28.3826,-2.66238,-2.12011
732,2,27.6581,1.48276,1.19853
732,2,24.1428,2.34265,-0.736408
733,2,26.5014,0.47189,2.46887
733,2,24.9014,-2.12214,-0.836942
734,1,32.888,2.85666,2.61409
735,1,30.2152,0.00703793,-1.59851
737,1,23.9337,-1.02322,0.443837
738,1,25.609,0.316459,2.8173
740,1,33.842,-1.71968,-2.90387
