Evento,Particle.Size,Particle.PT,Particle.Eta,Particle.Phi
0,1295,0,999.9,0
0,1295,0,-999.9,0
0,1295,6.87129,-1.88112,0.120778
0,1295,16.9617,-2.15402,-2.66436
0,1295,16.9617,-2.32224,0.477231
0,1295,1.77982e-15,999.9,0.0624188
0,1295,5.70304,5.0158,-1.68081
0,1295,1.78415e-15,-999.9,-3.04812
0,1295,19.9419,-2.34192,-2.71947
0,1295,13.5348,-2.89755,0.573377
0,1295,0,999.9,0
0,1295,4.8679,-2.89127,0.159677
0,1295,0,-999.9,0
0,1295,9.30984,-4.7362,0.780715
0,1295,9.30984,-3.48993,-2.36088
0,1295,0,999.9,0
0,1295,0,-999.9,0
0,1295,3.53618,0.613157,-0.563843
0,1295,6.80148,2.74183,-0.574647
0,1295,6.80148,0.201232,2.56695
0,1295,8.99951,0.703242,3.05825
0,1295,5.34462,1.45586,0.343381
0,1295,4.68875,2.74183,-0.574647
0,1295,6.84485e-13,999.9,1.48766
0,1295,8.06879e-13,-999.9,-1.68054
0,1295,4.93586,-6.4664,2.37901
0,1295,18.6184,-2.26414,-2.85658
0,1295,14.337,-2.92676,0.639459
0,1295,7.37288,-1.93492,0.324064
0,1295,7.30563,-3.38524,-2.83801
0,1295,4.38281,-4.8066,-1.48908
0,1295,1.70184e-14,-999.9,-3.14159
0,1295,2.22045e-15,999.9,3.14159
0,1295,4.96546,2.22899,0.715869
0,1295,1.35064e-15,-999.9,0.165149
0,1295,8.44934,-4.55452,0.855659
0,1295,10.583,-3.67008,-2.88275
0,1295,4.44597,-4.73605,-1.59687
0,1295,4.26326e-14,999.9,3.14159
0,1295,3.63811,5.11562,2.0962
0,1295,9.93245e-14,-999.9,-2.42739
0,1295,7.79579,-4.45357,0.867465
0,1295,12.4143,-3.80896,-2.81141
0,1295,4.64789,-4.75956,-1.64311
0,1295,3.33553,-2.49279,-0.163762
0,1295,2.52863e-13,999.9,2.38103
0,1295,2.51416e-13,-999.9,-0.74542
0,1295,17.7973,-2.3093,-2.77
0,1295,15.0122,-2.88081,0.464354
0,1295,7.62149,-1.90182,0.265286
0,1295,5.70327,5.01578,-1.68076
0,1295,0,999.9,0
0,1295,0,-999.9,0
0,1295,3.58185,-0.826431,2.1126
0,1295,4.7547,1.51151,-1.03588
0,1295,4.7547,1.29764,2.10571
0,1295,0,999.9,0
0,1295,1.22834,7.18909,0.386814
0,1295,0,-999.9,0
0,1295,4.30974,-2.6456,1.84548
0,1295,4.30974,-6.51536,-1.29612
0,1295,10.7927,-2.15622,-2.91058
0,1295,7.286,-2.88413,-2.56972
0,1295,4.86667,-6.4664,2.37901
0,1295,1.9101e-15,999.9,-0.62025
0,1295,3.89283,3.41581,-0.590808
0,1295,2.67377e-15,-999.9,2.41495
0,1295,4.51089,2.62599,-0.575073
0,1295,11.3918,0.861429,2.95155
0,1295,4.92679,1.29729,0.460953
0,1295,6.28037e-16,999.9,0.785398
0,1295,2.48253e-15,-999.9,-0.463648
0,1295,3.68436,0.139799,-0.779424
0,1295,2.38013,3.29637,-0.560983
0,1295,12.2459,0.820181,2.92218
0,1295,4.6519,1.38574,0.57627
0,1295,3.31304,0.70938,-0.562026
0,1295,13.7507,-2.96123,0.273169
0,1295,2.98957,0.421119,1.51105
0,1295,5.67392,5.01578,-1.68076
0,1295,4.96507e-16,999.9,2.03444
0,1295,1.19575e-15,-999.9,-1.19029
0,1295,2.34244,3.25547,-0.55741
0,1295,14.3051,0.950517,2.83424
0,1295,4.57028,1.3431,0.685519
0,1295,2.61996,0.449732,-0.503177
0,1295,3.83778,3.37663,-0.588069
0,1295,8.00593e-16,999.9,2.1588
0,1295,3.66205e-15,-999.9,-1.32582
0,1295,6.35888,1.62818,-1.03415
0,1295,2.77713,0.587877,2.1008
0,1295,7.10543e-15,999.9,1.5708
0,1295,6.36323e-15,-999.9,-0.822418
0,1295,2.52276,-1.28841,-2.80689
0,1295,7.79342,-4.4531,0.866613
0,1295,12.4101,-3.80846,-2.80971
0,1295,4.65047,-4.75994,-1.64273
0,1295,3.3492,-2.49672,-0.168701
0,1295,5.54692,2.11842,0.0283324
0,1295,3.42759,-4.57842,1.84336
0,1295,6.52547,-3.94047,0.416339
0,1295,3.63768,5.11562,2.0962
0,1295,2.42321,0.438785,0.156871
0,1295,3.51765,1.75277,1.94022
0,1295,11.7722,0.950642,2.83417
0,1295,7.64396,1.39369,-1.08557
0,1295,1.33415,0.177454,1.80849
0,1295,7.67512e-15,-999.9,-1.18308
0,1295,2.4406e-13,999.9,-2.80646
0,1295,2.43987e-13,-999.9,0.33427
0,1295,3.48735,-4.5622,1.71007
0,1295,11.6317,-3.87431,-2.8099
0,1295,4.40665,-4.81486,-1.48464
0,1295,3.39887,-2.48306,-0.160669
0,1295,5.54781,2.11751,0.0283829
0,1295,3.63767,5.11454,2.09619
0,1295,6.9911,-3.87262,0.410891
0,1295,1.4072,0.840713,-2.75281
0,1295,4.33864,1.48451,0.122824
0,1295,1.62327,3.25547,-0.55741
0,1295,4.55517,0.834173,2.17566
0,1295,3.63769,1.83587,2.84826
0,1295,6.73536,0.952248,2.83329
0,1295,1.27538,3.01012,0.859572
0,1295,4.82763,1.43287,-0.169852
0,1295,3.35319,-2.48306,-0.160669
0,1295,6.67812,-2.72024,0.410201
0,1295,7.21815,-3.12467,0.161934
0,1295,2.87212,0.421119,1.51105
0,1295,8.44538,-2.19842,0.330562
0,1295,0.976201,-1.58231,-2.2767
0,1295,1.23241e-12,-999.9,-0.280403
0,1295,1.7735,5.824,1.95233
0,1295,1.89629,1.0438,2.22351
0,1295,6.97755,-3.87262,0.410891
0,1295,2.18736,-4.39236,0.878751
0,1295,5.11422,-3.43434,0.21998
0,1295,1.87981,1.0438,2.22351
0,1295,0,999.9,0
0,1295,0,-999.9,0
0,1295,1.32497,-1.59113,-1.76533
0,1295,1.9673,6.91076,-2.37468
0,1295,1.9673,0.981994,0.766913
0,1295,4.17536,-2.05693,0.17411
0,1295,1.44908,-1.64864,-2.0569
0,1295,4.70055,1.43287,-0.169852
0,1295,6.42194,-2.3913,0.151978
0,1295,2.41235,-0.898155,0.823126
0,1295,5.05726e-13,999.9,2.38103
0,1295,6.7428,-4.11903,-2.78502
0,1295,4.73221,-3.43371,-2.83996
0,1295,4.01243,-2.05693,0.17411
0,1295,1.08816,5.54522,-1.94448
0,1295,2.72615,4.77046,1.68167
0,1295,1.8164,1.0438,2.22351
0,1295,3.92248,0.0230757,1.19195
0,1295,1.25106,-1.20759,-2.51473
0,1295,6.94858,-3.12467,0.161934
0,1295,4.24287,-1.67793,0.355262
0,1295,0.842011,-0.883817,2.42348
0,1295,4.69845,-2.3913,0.151978
0,1295,3.51118,-0.0112494,1.65206
0,1295,1.73021,1.81219,0.0453668
0,1295,5.60723,5.01578,-1.68076
0,1295,1.24444,-2.94967,-0.408143
0,1295,3.54085,-1.74145,-3.0469
0,1295,2.13652e-13,-999.9,0.847037
0,1295,3.47302,-1.58711,0.796299
0,1295,1.84737,-1.13314,-0.576243
0,1295,1.01145e-12,999.9,2.38103
0,1295,0,999.9,0
0,1295,0.777438,5.01344,-0.240395
0,1295,0,-999.9,0
0,1295,1.41189,1.06923,-0.352473
0,1295,1.41189,-2.68629,2.78912
0,1295,1.47133e-14,999.9,1.37525
0,1295,0.395238,1.68425,-2.041
0,1295,1.36805e-14,-999.9,-1.80003
0,1295,1.96441,6.90796,-2.3757
0,1295,3.14327,1.44926,1.00991
0,1295,8.32667e-17,999.9,-1.5708
0,1295,1.16484,4.03304,-2.39607
0,1295,3.92523e-17,-999.9,0.785398
0,1295,1.59889,7.12403,-2.45643
0,1295,3.14593,1.4586,1.00999
0,1295,1.32492,-1.5809,-1.76532
0,1295,2.80187e-11,999.9,-2.2354
0,1295,3.69348e-11,-999.9,0.386791
0,1295,4.34291,-2.65164,2.12436
0,1295,4.31264,-6.5144,-1.30193
0,1295,5.55112e-17,999.9,1.5708
0,1295,0,-999.9,0
0,1295,0.826745,-5.55612,0.655791
0,1295,0.450859,8.39289,-2.61167
0,1295,3.15353,1.45913,1.00933
0,1295,1.32479,-1.57786,-1.76525
0,1295,0.394075,1.69014,-2.03991
0,1295,5.82285,1.44226,-0.903167
0,1295,2.03651,1.13862,-1.60871
0,1295,1.17576,0.177454,1.80849
0,1295,1.33597,-3.0641,1.00276
0,1295,6.03763,-3.06881,-0.0131913
0,1295,1.1253,-1.20759,-2.51473
0,1295,2.17684,1.22575,2.0661
0,1295,0.256676,4.59747,-1.948
0,1295,2.49112,4.77046,1.68167
0,1295,1.06925,1.38661,0.44733
0,1295,1.03857,4.0719,-0.798719
0,1295,5.24499,5.01578,-1.68074
0,1295,4.21586,1.33339,0.157301
0,1295,0.325681,2.50366,-2.1923
0,1295,1.04867,0.840713,-2.75281
0,1295,1.57813,-3.58411,-0.16198
0,1295,4.39914,-2.81446,0.0262512
0,1295,1.02404,-1.20759,-2.51473
0,1295,2.13856,2.78992,-0.843107
0,1295,1.05994,2.23453,0.925012
0,1295,3.52453,1.33339,0.157301
0,1295,1.96874,1.12181,2.62794
0,1295,1.19175,0.140971,0.929786
0,1295,5.08077,-3.43434,0.21998
0,1295,4.28182,-2.66579,2.11506
0,1295,0.070406,4.33333,2.65826
0,1295,1.2243,7.18909,0.386814
0,1295,1.47587,2.67118,0.237543
0,1295,0.280044,0.497783,-2.78133
0,1295,0.739958,4.0719,-0.798719
0,1295,4.6929,1.59712,-0.252032
0,1295,0.651343,1.25623,1.13699
0,1295,0.99118,3.01012,0.859572
0,1295,3.15044,1.20786,0.0957387
0,1295,0.209307,3.32489,0.252297
0,1295,0.0812531,2.50366,-2.1923
0,1295,0.672528,0.679472,0.782805
0,1295,0.790791,-2.64368,0.776615
0,1295,4.7445,-3.43434,0.21998
0,1295,3.5359,-6.4842,-1.58278
0,1295,1.34098,-6.09536,-0.482372
0,1295,5.60373e-11,999.9,-2.2354
