Jet_Eta Jet_Phi Particle_Eta Particle_Phi
-2.24142 -2.30847 999.9 0
0.721101 1.02915 999.9 0
-0.406401 -2.56185 999.9 0
-1.60279 0.120571 999.9 0
0.0774123 -3.07372 999.9 0
-4.4647 2.97579 999.9 0
-1.46989 2.24085 999.9 0
0.407679 -0.857537 999.9 0
-1.83253 2.03702 999.9 0
-0.908415 -2.13501 999.9 0
-4.53215 -0.507377 999.9 0
-0.784474 -2.44736 999.9 0
1.03221 0.232613 999.9 0
0.16106 2.47523 999.9 0
0.953973 2.38602 999.9 0
-1.16924 -0.0195068 999.9 0
-0.470759 0.896517 999.9 0
3.90426 0.252084 999.9 0
-0.185632 -0.940074 999.9 0
0.702086 2.59333 999.9 0
-0.162264 1.87852 999.9 0
3.47249 -1.78847 999.9 0
-0.132847 -1.50566 999.9 0
-1.54342 0.0581352 999.9 0
0.676151 -1.09873 999.9 0
1.70799 -2.50934 999.9 0
3.08298 2.63854 999.9 0
-0.878765 0.684731 999.9 0
-0.902235 2.5506 999.9 0
-0.662347 -0.7018 999.9 0
3.23402 1.32944 999.9 0
-2.84561 -0.166314 999.9 0
-0.991473 -0.00839131 999.9 0
-0.307001 1.28257 999.9 0
-1.5671 -0.250299 999.9 0
-4.34161 -3.0397 999.9 0
-1.44259 -2.10157 999.9 0
-0.0631747 -0.54089 999.9 0
2.78622 1.20832 999.9 0
-4.08483 1.78504 999.9 0
0.937271 -2.69406 999.9 0
-0.0754683 0.143658 999.9 0
-1.5789 0.211009 999.9 0
0.128779 2.14204 999.9 0
3.67129 -0.0515566 999.9 0
-0.661034 -1.20195 999.9 0
0.863739 -1.68639 999.9 0
-0.142989 1.12659 999.9 0
-2.2151 1.77081 999.9 0
3.85915 -2.23094 999.9 0
3.31957 1.14174 999.9 0
-2.58618 0.0601114 999.9 0
2.39264 1.77706 999.9 0
-3.34804 0.207867 999.9 0
1.03158 2.06144 999.9 0
-2.40504 2.22962 999.9 0
1.59428 -0.913942 999.9 0
-2.17874 2.18963 999.9 0
-1.32265 -0.200681 999.9 0
4.77867 -2.34972 999.9 0
-2.74795 -2.84252 999.9 0
0.301229 2.89115 999.9 0
-1.81704 2.50615 999.9 0
-1.1208 -0.433484 999.9 0
1.93585 -2.58394 999.9 0
0.330464 2.14955 999.9 0
-3.03662 -0.896008 999.9 0
2.44397 -0.991657 999.9 0
3.0908 1.32238 999.9 0
0.618985 1.42257 999.9 0
4.71895 1.66851 999.9 0
2.27291 -0.899258 999.9 0
-2.03832 0.989727 999.9 0
-0.42801 -0.353324 999.9 0
-2.07921 1.89712 999.9 0
0.753884 -1.32583 999.9 0
-0.222401 -0.0194464 999.9 0
-2.53167 -1.73755 999.9 0
-0.386033 2.80574 999.9 0
0.583213 1.39798 999.9 0
-1.46879 -0.177813 999.9 0
1.39401 3.08305 999.9 0
2.22065 2.36076 999.9 0
-1.16192 1.18493 999.9 0
-0.800304 -0.631626 999.9 0
1.63277 0.369227 999.9 0
-3.92446 1.79743 999.9 0
2.15447 -0.645903 999.9 0
2.14812 0.671638 999.9 0
-2.03219 1.65865 999.9 0
-1.01396 1.13348 999.9 0
1.61821 -2.33464 999.9 0
0.843648 -2.31236 999.9 0
2.69134 0.0503105 999.9 0
-0.804657 1.1067 999.9 0
3.83507 -1.73397 999.9 0
0.747732 -0.118513 999.9 0
-0.110885 -3.10205 999.9 0
1.73123 -2.71077 999.9 0
-2.18091 -0.494862 999.9 0
-0.21009 -2.29813 999.9 0
0.640185 -3.00594 999.9 0
0.892591 -1.53611 999.9 0
0.13593 1.11935 999.9 0
0.635114 2.07482 999.9 0
-2.04382 -0.576945 999.9 0
-1.22597 1.24014 999.9 0
2.06493 1.94002 999.9 0
-2.9015 -1.44957 999.9 0
-0.00616975 0.12819 999.9 0
-1.30541 1.0288 999.9 0
0.777528 3.02288 999.9 0
-1.82218 -2.77046 999.9 0
-3.99987 1.96601 999.9 0
3.1034 1.48064 999.9 0
-4.139 -0.566307 999.9 0
0.938166 -0.554289 999.9 0
1.36004 2.35174 999.9 0
-0.5123 0.955934 999.9 0
-2.50558 -0.389268 999.9 0
-4.06241 2.07477 999.9 0
4.67354 3.04191 999.9 0
-3.15315 0.421997 999.9 0
-1.88146 0.426023 999.9 0
-2.33629 0.0827924 999.9 0
3.82948 2.82521 999.9 0
-3.06354 1.9598 999.9 0
-0.114038 -2.34694 999.9 0
-2.04788 2.68128 999.9 0
1.96748 0.758602 999.9 0
1.18056 -1.78205 999.9 0
-2.47289 1.16024 999.9 0
2.70963 -2.00419 999.9 0
-1.06857 2.8297 999.9 0
-2.76108 0.518107 999.9 0
-1.48654 1.99113 999.9 0
2.37566 2.30794 999.9 0
-2.61728 1.37771 999.9 0
-3.50248 -1.33153 999.9 0
-0.988722 -2.12266 999.9 0
2.25489 0.979133 999.9 0
-3.49107 -1.9742 999.9 0
2.73222 0.0655574 999.9 0
-0.973466 -0.557359 999.9 0
-0.13112 0.597287 999.9 0
-0.0854412 -2.96524 999.9 0
-1.79258 -1.20995 999.9 0
-1.06355 3.08981 999.9 0
-0.477128 0.327377 999.9 0
1.96556 -1.9161 999.9 0
-0.102214 3.0876 999.9 0
-1.76019 3.08292 999.9 0
2.25006 -0.80299 999.9 0
1.11337 2.99724 999.9 0
1.77694 0.747265 999.9 0
0.322592 2.44508 999.9 0
1.53666 0.371532 999.9 0
-0.274628 -0.732778 999.9 0
-1.61681 0.697297 999.9 0
-0.80311 -2.38485 999.9 0
1.81446 2.8078 999.9 0
-1.03194 1.0389 999.9 0
-1.19874 1.02921 999.9 0
1.09192 -1.39634 999.9 0
1.06993 -0.745889 999.9 0
3.35531 -2.75567 999.9 0
0.602901 1.10343 999.9 0
2.00405 2.78566 999.9 0
-4.20339 0.044668 999.9 0
0.328511 2.98055 999.9 0
-2.96916 -2.90089 999.9 0
1.11596 -0.796238 999.9 0
-0.444958 2.71753 999.9 0
-1.98081 -1.19023 999.9 0
3.3539 -2.67467 999.9 0
-1.54288 -1.81273 999.9 0
-4.02809 1.37544 999.9 0
0.248672 2.00676 999.9 0
0.195452 -2.6864 999.9 0
-3.42862 -2.09815 999.9 0
-0.196171 0.429928 999.9 0
2.00836 -1.49534 999.9 0
1.73432 -0.785862 999.9 0
-3.30165 -0.386791 999.9 0
-0.315203 -2.5946 999.9 0
1.82098 -1.85542 999.9 0
0.989412 -0.897926 999.9 0
-2.37231 1.95312 999.9 0
3.33476 -1.20446 999.9 0
-0.69105 0.0271142 999.9 0
1.36309 -0.860336 999.9 0
-4.40575 2.60405 999.9 0
1.67 0.564203 999.9 0
-3.11183 1.056 999.9 0
2.06776 0.242741 999.9 0
-1.92033 -1.39748 999.9 0
-4.33173 -0.825805 999.9 0
-0.172701 -2.25829 999.9 0
-1.98064 1.38734 999.9 0
-0.939297 1.96632 999.9 0
-1.8594 3.04513 999.9 0
-0.41353 1.96148 999.9 0
-2.27624 -0.648079 999.9 0
3.29665 2.72137 999.9 0
-1.36444 0.109978 999.9 0
0.694675 0.653454 999.9 0
4.10599 2.26867 999.9 0
2.87805 1.99723 999.9 0
3.68951 0.0551633 999.9 0
1.40961 1.22225 999.9 0
0.225501 -2.40356 999.9 0
-1.80788 -2.73855 999.9 0
1.94742 -2.41481 999.9 0
-3.17304 1.04405 999.9 0
-0.00423959 2.16265 999.9 0
1.20068 -0.458956 999.9 0
-0.228098 0.880894 999.9 0
-3.26714 -0.504303 999.9 0
0.651457 -2.74918 999.9 0
0.0715633 -2.56526 999.9 0
2.41555 -2.13692 999.9 0
-2.91993 -1.57764 999.9 0
-1.9356 -0.372165 999.9 0
0.558291 -0.790508 999.9 0
-3.6402 -0.380092 999.9 0
1.07073 3.13483 999.9 0
-2.39564 -0.39384 999.9 0
-0.0619478 1.07497 999.9 0
-2.37566 -3.03141 999.9 0
-4.07897 0.67868 999.9 0
4.71024 -1.23815 999.9 0
-3.44221 -0.9916 999.9 0
-3.32551 1.14582 999.9 0
-3.12176 0.148433 999.9 0
0.562798 0.251629 999.9 0
-0.283202 1.44484 999.9 0
-2.22151 0.882095 999.9 0
-1.92824 -0.410751 999.9 0
2.7361 -0.939802 999.9 0
2.21931 -0.0488655 999.9 0
-3.63527 2.545 999.9 0
3.22305 -0.563071 999.9 0
2.13752 -1.06827 999.9 0
-1.89838 3.01123 999.9 0
0.801483 -0.773134 999.9 0
-0.982635 -1.5374 999.9 0
0.296708 -2.81951 999.9 0
-2.64028 -2.55104 999.9 0
0.0162445 -2.86949 999.9 0
2.04427 -0.139373 999.9 0
-1.63049 -1.43277 999.9 0
3.62861 1.25686 999.9 0
3.12274 0.391585 999.9 0
-0.177355 -1.26468 999.9 0
-3.94917 2.86902 999.9 0
-3.69049 -3.00448 999.9 0
4.0845 -0.995689 999.9 0
-0.0969768 2.74532 999.9 0
2.06576 -1.67814 999.9 0
-0.273336 1.53008 999.9 0
-2.88156 2.22584 999.9 0
1.33691 2.92824 999.9 0
-1.30756 1.39347 999.9 0
-2.24115 0.0282802 999.9 0
3.36018 -2.36801 999.9 0
-3.83318 2.65169 999.9 0
0.592026 -2.18935 999.9 0
1.25641 -0.884878 999.9 0
0.370207 1.71119 999.9 0
3.01956 0.0547529 999.9 0
3.01956 0.0547529 999.9 0
1.35625 -0.453293 999.9 0
2.36602 -2.03233 999.9 0
-1.43162 1.73062 999.9 0
1.12796 0.0587097 999.9 0
-2.04326 0.902117 999.9 0
-0.766765 -1.47545 999.9 0
-1.06629 1.34086 999.9 0
3.253 2.0474 999.9 0
-3.75512 -1.96315 999.9 0
-0.52271 2.61435 999.9 0
-0.489667 -2.32523 999.9 0
1.7746 -3.06272 999.9 0
3.04939 0.624143 999.9 0
-1.3801 -0.409388 999.9 0
-1.2211 2.10922 999.9 0
-2.57158 -0.374284 999.9 0
4.37763 -3.08238 999.9 0
3.44201 -0.0741208 999.9 0
1.96395 2.97154 999.9 0
2.94537 0.198236 999.9 0
-2.17334 -1.04459 999.9 0
-0.342256 -0.956178 999.9 0
-2.57927 1.14375 999.9 0
0.994488 -1.91214 999.9 0
1.79522 1.58668 999.9 0
1.32101 0.197994 999.9 0
0.406631 -2.92727 999.9 0
-1.00043 1.02236 999.9 0
-3.08947 -2.37796 999.9 0
-0.57054 -0.508516 999.9 0
-2.01154 1.25612 999.9 0
-0.0790416 2.9606 999.9 0
-4.33271 1.99784 999.9 0
-0.410962 -2.85707 999.9 0
3.37337 -1.00997 999.9 0
-0.192891 -3.02288 999.9 0
2.08428 -1.85736 999.9 0
2.20281 2.61889 999.9 0
-1.54455 1.16016 999.9 0
-0.693871 -0.546892 999.9 0
1.31657 -1.78323 999.9 0
-3.47522 -0.261051 999.9 0
-3.19756 -0.501974 999.9 0
-1.35859 1.35999 999.9 0
1.37176 2.04624 999.9 0
-1.95142 0.447233 999.9 0
-3.68159 2.44104 999.9 0
0.456095 -1.91583 999.9 0
0.621999 0.954226 999.9 0
-1.51428 -1.01589 999.9 0
-3.12709 -2.96102 999.9 0
-2.46376 0.126081 999.9 0
-1.68695 1.93778 999.9 0
0.107823 -3.02827 999.9 0
-3.4221 -2.70666 999.9 0
1.95925 -1.59664 999.9 0
-1.35376 2.67525 999.9 0
0.287028 -0.763748 999.9 0
-2.00283 2.14423 999.9 0
-3.00331 -1.71755 999.9 0
-2.1632 2.99739 999.9 0
-2.18814 2.69308 999.9 0
-0.806954 -2.32136 999.9 0
1.42275 -0.931987 999.9 0
0.00826646 -2.0692 999.9 0
1.37005 -2.58299 999.9 0
-0.52043 0.539562 999.9 0
-1.79208 2.91423 999.9 0
-0.320605 2.41826 999.9 0
0.924793 1.81354 999.9 0
1.93913 -0.441188 999.9 0
-2.91938 -0.786539 999.9 0
0.113408 -2.33391 999.9 0
-2.19899 2.58341 999.9 0
-0.37889 2.57871 999.9 0
0.610873 -0.0309748 999.9 0
2.14057 1.95292 999.9 0
-0.203519 0.194082 999.9 0
-1.26898 -0.659006 999.9 0
3.76556 -0.562852 999.9 0
0.498134 -0.61964 999.9 0
-2.61778 -1.05708 999.9 0
0.454124 -1.82952 999.9 0
1.25368 1.94788 999.9 0
1.98002 -1.91008 999.9 0
-0.0925549 2.19143 999.9 0
-0.254367 -2.31224 999.9 0
-1.52078 1.18555 999.9 0
1.25843 -1.43752 999.9 0
0.521399 -2.3027 999.9 0
1.94291 -2.72622 999.9 0
1.604 -0.754897 999.9 0
2.09864 -0.337144 999.9 0
0.499609 -2.30948 999.9 0
-2.05637 -1.25707 999.9 0
1.55249 2.54231 999.9 0
-3.29294 -2.19418 999.9 0
-1.90305 2.09853 999.9 0
0.153561 -1.426 999.9 0
3.47416 1.50081 999.9 0
-1.794 -2.75688 999.9 0
0.351367 1.92245 999.9 0
-1.46608 1.15318 999.9 0
2.0843 -2.57157 999.9 0
-2.41416 1.72631 999.9 0
-2.35003 2.58326 999.9 0
1.50378 0.675462 999.9 0
-4.36514 -2.51114 999.9 0
-1.16638 1.27523 999.9 0
0.398577 -1.62393 999.9 0
-2.82555 0.0458092 999.9 0
-3.66743 0.669775 999.9 0
1.05361 2.00931 999.9 0
-3.20437 1.50609 999.9 0
-2.16268 2.03347 999.9 0
-1.79712 -0.312705 999.9 0
-0.631395 -1.61255 999.9 0
0.232326 -0.425513 999.9 0
-3.43636 1.53971 999.9 0
-0.0632291 -1.46968 999.9 0
-0.312608 -1.22854 999.9 0
-1.48806 -0.942161 999.9 0
-1.51618 -0.155325 999.9 0
-1.40789 2.00931 999.9 0
0.137749 -1.88646 999.9 0
2.53783 -3.05329 999.9 0
0.691725 -2.7796 999.9 0
-1.90442 -0.376286 999.9 0
4.05765 -2.39149 999.9 0
-2.40061 -2.48408 999.9 0
-3.88908 -3.01526 999.9 0
0.456105 2.60956 999.9 0
1.6309 1.97848 999.9 0
-1.80123 0.951228 999.9 0
-0.567771 -1.61099 999.9 0
-0.0388727 -2.10396 999.9 0
-3.18927 -1.05432 999.9 0
2.52344 -2.07452 999.9 0
0.902861 0.592127 999.9 0
-1.42564 -0.651593 999.9 0
-0.57532 -0.631065 999.9 0
-0.470834 -3.10383 999.9 0
2.63522 -2.92392 999.9 0
-0.888794 -2.2798 999.9 0
0.335794 -2.13045 999.9 0
-1.60188 -1.3009 999.9 0
0.799033 2.67637 999.9 0
0.414952 -1.28318 999.9 0
-1.66892 -1.17389 999.9 0
-0.770326 0.75968 999.9 0
3.05515 3.04355 999.9 0
-3.9579 2.71954 999.9 0
1.50845 -0.826165 999.9 0
0.701466 -0.787878 999.9 0
-0.46224 -1.07404 999.9 0
-0.0346275 -1.47295 999.9 0
-2.89562 -2.73387 999.9 0
-3.1045 1.46867 999.9 0
1.53564 -3.09455 999.9 0
-0.195315 -0.0559964 999.9 0
-0.367006 -0.745702 999.9 0
-0.0465258 -0.731256 999.9 0
0.282983 3.07205 999.9 0
1.38206 2.80493 999.9 0
0.613008 2.18591 999.9 0
1.7967 -0.751989 999.9 0
0.229689 0.502105 999.9 0
3.2183 2.17829 999.9 0
-0.74052 0.696105 999.9 0
-1.87364 -0.987135 999.9 0
-0.253041 0.734509 999.9 0
4.14333 1.03971 999.9 0
-2.25494 2.17222 999.9 0
-1.94471 0.267077 999.9 0
-0.314001 -3.13003 999.9 0
3.71346 3.02519 999.9 0
4.8079 1.94854 999.9 0
1.18437 -1.60931 999.9 0
-4.91519 -1.80024 999.9 0
-0.36774 -2.02097 999.9 0
0.238107 -2.71913 999.9 0
-2.6573 -2.77615 999.9 0
-0.573785 -3.12806 999.9 0
-2.38025 -1.6069 999.9 0
0.48699 0.874997 999.9 0
-1.4319 1.61514 999.9 0
-1.19224 -2.91952 999.9 0
-1.13164 0.88146 999.9 0
-0.414167 0.767694 999.9 0
-2.08356 2.86507 999.9 0
-1.40521 -3.0461 999.9 0
1.31766 1.25208 999.9 0
0.72479 2.9259 999.9 0
0.321376 -1.83751 999.9 0
3.46725 2.80752 999.9 0
2.6739 2.42872 999.9 0
2.92115 2.5104 999.9 0
1.91134 2.69276 999.9 0
-1.45096 -0.932686 999.9 0
1.49103 2.07454 999.9 0
0.340072 -0.790026 999.9 0
-1.4783 -0.26099 999.9 0
4.56925 -2.54314 999.9 0
-3.96126 1.89708 999.9 0
-2.55343 0.29846 999.9 0
-3.46151 2.0295 999.9 0
-1.12593 2.45891 999.9 0
0.730467 2.73611 999.9 0
-0.951037 0.335091 999.9 0
2.35607 -2.37379 999.9 0
-1.92232 -0.819727 999.9 0
1.6493 0.348301 999.9 0
2.13293 -2.0631 999.9 0
-0.0977334 1.53276 999.9 0
-1.35041 -0.389218 999.9 0
-1.44712 0.398826 999.9 0
1.16352 1.41508 999.9 0
0.2518 -3.04282 999.9 0
0.630521 -1.51237 999.9 0
3.61747 0.305994 999.9 0
0.992681 1.97818 999.9 0
0.618955 -3.11419 999.9 0
-0.225871 1.68529 999.9 0
-0.807887 0.732349 999.9 0
2.25027 0.0949495 999.9 0
0.155201 -0.57703 999.9 0
0.0944578 2.84229 999.9 0
-4.28723 -1.39504 999.9 0
1.50748 -1.40488 999.9 0
3.14753 3.03822 999.9 0
-1.60068 -0.444639 999.9 0
-1.18526 2.44105 999.9 0
0.858736 -3.03707 999.9 0
-3.34207 -1.46556 999.9 0
3.53161 0.859966 999.9 0
-2.66953 -2.35924 999.9 0
-1.20992 0.134245 999.9 0
4.29945 1.13522 999.9 0
1.31279 0.517408 999.9 0
1.03604 1.02953 999.9 0
2.32184 0.871321 999.9 0
-2.41409 -0.494532 999.9 0
0.383201 1.43343 999.9 0
-0.330347 1.88248 999.9 0
1.95084 0.998124 999.9 0
2.14678 -0.296948 999.9 0
1.43569 0.182326 999.9 0
